 lga_code_2016,,vi,ko, es, pl, hi, fr, en, ar, nl, ta, it, sr, ur, zh, in, tr, ru, el, tl,de, sp_oth_lan_indo_ary_lan_ben_p, ja
43920,Mallala ,59,0,3,3,0,3,7718,8,10,8,96,6,0,8,4,0,6,76,3,4,0,3
50560,Beverley ,6,0,4,0,0,3,1413,0,0,0,6,0,0,3,0,0,0,0,3,6,0,0
50630,Boddington ,0,0,7,0,4,3,1970,0,5,9,7,0,0,3,30,0,3,0,0,3,0,8
41830,Flinders Ranges ,0,0,3,0,4,0,1461,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0
41960,Franklin Harbour ,0,0,0,0,0,0,1255,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0
42600,Holdfast Bay ,38,50,137,84,102,124,29624,107,75,14,302,38,21,437,33,11,76,306,46,174,19,70
43220,Kimba ,0,0,0,0,4,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
43360,Kingston (SA),0,0,0,0,0,3,2083,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0
44000,Maralinga Tjarutja ,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44060,Marion ,291,176,370,503,614,171,67091,1272,193,219,691,177,220,3529,125,42,222,1114,452,423,182,199
44210,Mid Murray ,0,3,4,8,8,3,7525,6,19,0,15,3,0,15,0,0,0,3,11,24,0,3
44340,Mitcham ,255,175,144,163,208,184,52288,359,141,109,581,71,190,1971,312,9,130,1386,99,410,111,142
44550,Mount Barker ,13,16,51,36,21,65,29945,15,72,3,115,12,10,97,14,0,14,44,31,180,0,54
44620,Mount Gambier ,28,4,10,26,24,35,22888,27,52,6,229,3,21,73,3,0,9,56,46,59,0,22
44830,Mount Remarkable ,0,0,0,0,3,0,2609,0,3,0,4,0,0,7,0,0,0,5,0,3,0,4
45040,Murray Bridge ,130,10,11,8,30,7,16992,48,17,12,142,0,31,561,6,50,11,17,209,56,33,5
45400,Orroroo/Carrieton ,0,0,0,0,0,0,805,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
50770,Boyup Brook ,0,0,0,0,0,3,1490,0,9,0,11,0,0,0,0,0,0,0,0,3,0,0
50840,Bridgetown-Greenbushes ,0,0,0,3,0,6,4098,0,17,0,18,0,0,3,0,0,0,4,8,16,0,7
45090,Naracoorte and Lucindale ,30,23,9,0,3,0,6928,3,0,3,14,0,3,82,0,4,0,13,72,17,0,5
45120,Northern Areas ,0,0,0,0,0,4,4177,0,3,0,0,0,0,10,0,0,0,3,4,6,0,0
45290,Norwood Payneham St Peters ,251,246,204,99,283,110,24063,131,50,84,2289,37,100,2095,51,6,85,780,102,186,60,105
45340,Onkaparinga ,135,114,415,701,233,217,144831,502,410,76,654,168,285,1107,106,26,214,617,396,751,38,147
47700,Tea Tree Gully ,180,278,350,449,373,83,80517,478,176,101,1706,113,92,1574,70,45,234,615,215,445,138,117
47800,The Coorong ,0,0,0,0,0,3,4729,6,12,0,5,0,0,5,0,0,0,3,11,23,0,0
45540,Peterborough ,0,0,0,0,3,0,1555,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0
45680,Playford ,845,12,280,116,128,69,71699,445,101,107,650,150,43,246,91,71,223,400,248,177,73,25
45890,Port Adelaide Enfield ,6188,421,558,751,1314,148,74278,1081,114,435,2095,694,451,5258,105,81,508,2028,792,403,423,157
46090,Port Augusta ,23,3,0,3,20,7,11545,4,11,4,65,3,10,48,3,0,0,5,20,25,15,3
46300,Port Lincoln ,5,5,20,4,3,17,12180,7,12,0,46,3,0,30,5,0,0,31,43,26,0,10
46450,Port Pirie City and Dists ,20,0,10,4,0,11,15591,0,17,17,155,0,31,33,3,5,11,92,47,27,3,3
47910,Tumby Bay ,0,0,0,0,0,0,2542,0,0,0,5,0,0,3,0,0,0,0,0,5,0,0
50910,Brookton ,0,0,0,0,0,3,835,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
46510,Prospect ,463,29,40,78,233,48,13977,112,18,48,680,49,53,590,4,10,29,921,46,70,84,21
46670,Renmark Paringa ,80,4,4,5,5,15,7475,3,3,6,129,0,0,105,0,59,0,371,8,18,0,7
46860,Robe ,0,0,0,0,0,5,1239,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0
46970,Roxby Downs ,3,0,26,5,8,0,3746,0,4,11,8,11,6,5,8,5,8,5,38,6,5,0
47140,Salisbury ,5369,192,1033,932,869,136,91896,1620,161,378,1934,733,366,2732,127,100,272,1255,1030,407,353,97
47290,Southern Mallee ,0,0,0,0,0,3,1731,4,3,0,0,0,0,20,0,0,0,0,7,0,0,3
47490,Streaky Bay ,5,0,0,0,0,0,1914,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0
47630,Tatiara ,8,7,0,0,3,13,5508,6,0,25,4,0,3,45,3,0,0,0,37,15,0,0
47980,Unley ,133,168,180,92,237,154,28295,130,44,71,713,32,73,1828,73,24,74,1294,54,216,133,120
48050,Victor Harbor ,8,0,10,7,6,21,12971,0,50,0,40,0,0,35,12,0,3,20,10,65,0,14
48130,Wakefield ,8,0,0,6,0,0,6046,0,5,0,12,0,0,24,3,0,0,7,55,11,8,0
48410,West Torrens ,396,162,302,209,771,126,36898,607,57,147,1831,186,257,2966,156,26,100,3653,271,151,255,131
48540,Whyalla ,15,3,62,15,69,18,18806,23,22,32,99,13,4,69,15,0,6,106,126,73,29,6
50980,Broome ,16,35,40,21,21,69,17823,14,47,4,107,0,19,130,37,0,7,19,98,118,3,45
51190,Bunbury ,69,119,74,72,47,67,25771,76,58,40,392,14,32,282,64,3,35,56,236,59,39,50
51260,Busselton ,58,30,42,21,19,106,31503,9,78,10,164,8,7,115,69,9,10,12,61,162,3,61
51960,Coolgardie ,0,6,7,5,7,3,3174,0,4,3,9,3,0,10,7,0,0,0,15,4,0,3
52030,Coorow ,0,0,3,0,0,0,941,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0
50210,Armadale ,122,147,291,100,501,224,58910,317,349,726,444,64,234,1787,443,22,83,35,633,224,98,121
50250,Ashburton ,37,78,81,28,60,51,17256,42,33,44,91,37,26,199,58,4,26,26,269,66,16,19
50280,Augusta-Margaret River ,10,41,71,12,3,90,11934,0,45,0,79,0,0,101,25,0,4,7,53,110,0,38
50350,Bassendean ,147,14,33,60,55,91,11821,41,31,37,249,81,51,279,38,10,15,15,94,60,6,60
50420,Bayswater ,2183,215,349,390,558,315,41626,475,117,251,2013,457,288,3230,228,59,118,372,447,252,128,257
50490,Belmont ,355,382,178,168,380,221,23665,744,62,92,504,38,403,2411,291,126,61,59,551,99,257,92
48260,Walkerville ,105,30,34,32,40,28,5665,33,14,26,192,9,20,391,13,3,33,183,10,27,4,20
48340,Wattle Range ,9,0,7,11,0,14,10260,0,16,0,77,0,0,34,0,0,3,3,14,12,0,11
48640,Wudinna ,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
48750,Yankalilla ,0,3,4,0,13,12,4619,0,10,0,11,0,0,6,0,0,0,19,5,20,0,3
48830,Yorke Peninsula ,3,0,6,3,0,0,10027,0,5,0,21,0,3,10,4,0,4,13,10,21,0,0
49399,Unincorporated SA,7,0,5,12,10,7,4385,3,5,6,26,8,0,13,11,0,0,12,8,20,0,5
50080,Albany ,42,8,39,52,10,54,31130,8,104,14,231,4,6,126,45,0,18,15,215,146,3,33
51080,Broomehill-Tambellup ,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
51120,Bruce Rock ,0,0,0,3,0,0,804,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0
51310,Cambridge ,78,39,148,68,110,224,21562,42,139,33,387,29,20,679,42,6,52,207,37,168,23,137
51330,Canning ,548,1264,409,193,1142,409,49252,1157,154,954,835,56,787,12197,1597,417,165,89,824,246,488,283
51400,Capel ,18,13,37,21,10,30,14290,22,33,3,67,4,31,79,14,0,26,7,87,38,11,12
51470,Carnamah ,0,0,0,0,0,0,513,0,6,0,0,0,0,0,0,0,0,0,3,7,0,0
51540,Carnarvon ,210,6,6,4,22,30,6109,3,24,3,37,3,0,62,6,0,0,11,26,37,0,14
51610,Chapman Valley ,0,0,0,0,0,3,1209,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0
52380,Cue ,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52450,Cunderdin ,0,0,0,0,0,0,1219,0,0,0,3,0,0,3,0,0,0,0,41,3,0,0
52520,Dalwallinu ,0,0,0,0,0,0,1144,0,3,0,5,0,0,3,0,0,0,0,49,0,0,0
51680,Chittering ,4,0,3,3,3,3,4712,11,20,0,16,3,0,12,0,0,0,5,8,11,0,0
51750,Claremont ,16,16,63,30,24,100,7952,16,30,13,72,6,7,290,23,0,34,17,9,67,7,90
51820,Cockburn ,261,427,885,292,350,386,74426,384,176,224,2464,717,148,3793,601,59,219,90,1330,420,169,253
51890,Collie ,9,3,3,19,0,3,7592,3,3,0,63,0,3,20,3,0,0,0,5,17,3,7
52100,Corrigin ,0,0,0,0,0,0,951,0,3,0,3,0,0,3,0,0,0,0,7,3,0,0
52170,Cottesloe ,10,3,24,8,0,72,6421,4,25,3,72,5,0,35,4,3,3,42,0,58,0,14
52240,Cranbrook ,0,0,5,0,0,0,894,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0
52310,Cuballing ,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
52590,Dandaragan ,0,0,4,0,0,10,2928,0,3,3,11,0,0,23,5,0,6,3,0,13,3,3
52660,Dardanup ,6,29,22,11,11,16,12058,16,30,9,56,0,7,42,8,0,0,0,30,25,3,12
52730,Denmark ,14,0,13,4,0,19,4998,0,12,0,10,0,0,10,5,0,4,0,6,55,0,0
52800,Derby-West Kimberley ,7,4,11,7,5,13,5339,4,10,7,19,3,0,21,3,0,3,3,12,24,0,6
52870,Donnybrook-Balingup ,12,6,0,5,0,9,4895,10,8,0,65,0,0,36,0,0,5,3,3,22,0,9
52940,Dowerin ,0,0,0,0,0,0,618,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
53150,East Fremantle ,9,5,26,8,3,50,6175,11,20,3,193,0,0,31,10,9,0,0,4,48,0,18
53220,East Pilbara ,19,15,46,17,34,27,11057,22,8,20,45,23,0,84,37,0,14,17,141,37,6,8
53290,Esperance ,3,9,3,3,3,22,11994,4,18,6,24,0,0,48,8,0,6,6,17,47,5,0
53360,Exmouth ,0,0,3,5,0,21,4300,0,18,0,24,0,0,12,4,0,4,6,17,39,0,0
53430,Fremantle ,33,34,222,82,22,293,22015,30,89,25,1279,68,13,191,47,16,38,57,74,248,4,97
53010,Dumbleyung ,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53080,Dundas ,0,3,0,0,0,0,1044,0,3,3,3,0,3,3,0,0,0,0,4,3,0,0
53570,Gingin ,24,4,8,3,0,11,4195,3,11,3,27,3,0,121,0,0,3,3,33,32,0,7
53640,Gnowangerup ,0,0,0,0,0,0,1012,0,5,0,0,0,0,6,0,0,0,0,17,11,0,0
54280,Kalgoorlie/Boulder ,34,12,38,29,149,36,23839,34,18,27,51,8,31,259,71,12,28,24,312,65,25,11
54310,Karratha ,39,17,71,15,86,75,18314,25,27,23,48,21,30,275,64,8,12,20,289,58,30,21
53920,Halls Creek ,0,0,0,0,0,3,1901,0,3,0,5,0,3,24,0,0,0,0,3,6,0,4
53990,Harvey ,16,26,27,21,18,25,22096,12,50,8,383,8,7,179,33,3,4,5,177,48,0,26
54060,Irwin ,4,0,0,0,0,0,3370,0,6,0,3,0,0,8,0,0,0,0,0,25,0,0
54130,Jerramungup ,0,0,0,0,0,0,927,0,0,0,0,0,0,3,0,0,0,4,5,10,0,0
54170,Joondalup ,437,116,617,673,245,630,129822,630,364,103,1187,224,68,2221,272,33,231,309,271,894,80,368
53710,Goomalling ,0,0,3,0,0,0,886,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0
53780,Gosnells ,566,547,449,181,1093,392,72510,1818,246,1592,836,124,982,8686,1641,258,107,70,1551,211,501,195
53800,Greater Geraldton ,106,0,50,14,43,70,32083,31,39,26,220,3,45,141,59,0,14,14,229,133,13,22
54200,Kalamunda ,70,37,116,98,176,209,46579,129,153,153,674,69,36,702,167,27,70,32,351,235,164,75
54340,Katanning ,3,5,3,3,4,0,2767,10,4,12,21,3,3,44,15,0,0,0,15,0,0,0
54410,Kellerberrin ,0,0,0,0,0,0,1040,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0
54830,Kwinana ,103,125,237,71,320,98,27262,106,49,129,159,140,116,618,122,9,51,25,860,106,93,75
54480,Kent ,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
54550,Kojonup ,0,0,3,0,0,6,1683,7,0,0,16,0,0,0,0,0,0,0,19,8,0,0
54900,Lake Grace ,0,3,0,0,0,0,1070,3,3,0,3,0,0,7,0,0,0,0,0,4,0,0
57910,Stirling ,4407,477,1325,855,1557,1116,136963,2376,371,408,6375,895,788,7186,601,255,434,1450,867,916,193,851
54620,Kondinin ,0,0,0,3,0,0,895,4,0,0,0,0,0,0,3,0,0,0,0,0,3,0
54690,Koorda ,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54760,Kulin ,0,0,0,0,0,0,651,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
54970,Laverton ,3,3,4,0,4,9,1706,3,0,0,7,0,0,12,4,0,0,0,4,11,0,3
57980,Subiaco ,101,95,155,55,65,262,13650,100,79,66,152,41,75,1419,147,16,68,48,31,126,52,172
58050,Swan ,2883,125,462,447,897,477,95694,1507,180,436,1397,416,180,2302,303,38,128,210,1362,336,93,181
58190,Tammin ,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55040,Leonora ,0,0,3,0,0,0,1765,3,3,0,3,3,0,9,3,0,0,3,5,3,0,0
55110,Mandurah ,76,103,155,99,117,126,67710,55,177,39,284,25,44,409,141,5,66,43,348,230,29,96
55180,Manjimup ,10,6,7,12,0,15,7884,0,6,5,114,0,0,35,6,0,0,8,16,32,3,3
55250,Meekatharra ,3,0,7,6,0,5,1188,3,3,0,0,0,0,10,3,0,0,5,7,3,0,0
55320,Melville ,287,592,560,192,418,478,73070,415,234,371,1411,169,65,6645,1348,46,174,185,255,451,143,396
58260,Three Springs ,0,0,0,0,0,3,522,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0
55950,Mukinbudin ,0,0,0,0,0,0,493,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
55530,Mingenew ,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56090,Mundaring ,34,7,55,84,26,99,31444,18,127,13,319,22,8,174,28,8,22,30,107,196,10,60
55390,Menzies ,0,0,3,4,0,0,573,0,0,0,0,3,0,6,0,0,0,0,13,0,0,0
55460,Merredin ,0,0,0,0,0,6,2875,0,8,3,14,0,0,103,0,0,5,0,11,5,6,0
57140,Pingelly ,0,0,0,0,0,0,964,0,3,0,5,0,0,0,3,0,0,0,0,0,0,0
57210,Plantagenet ,3,0,11,3,0,3,4188,0,12,0,12,0,0,4,0,0,0,0,12,30,0,3
57280,Port Hedland ,30,21,22,3,40,36,11849,26,13,40,22,8,18,133,91,9,15,17,194,31,31,13
55600,Moora ,0,0,0,0,0,0,2140,0,0,0,4,0,0,3,0,0,0,0,16,0,0,0
57350,Quairading ,0,3,0,0,0,0,854,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
57420,Ravensthorpe ,4,0,3,0,0,0,1522,3,3,0,0,0,0,3,3,0,0,0,5,0,0,0
57490,Rockingham ,229,83,410,128,139,220,104206,210,280,93,409,327,45,561,232,12,134,51,529,362,43,172
55670,Morawa ,0,3,0,0,0,0,713,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
55810,Mount Magnet ,0,0,0,0,3,0,499,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0
55880,Mount Marshall ,0,0,0,0,0,0,482,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
56860,Nungarin ,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56620,Ngaanyatjarraku ,0,0,0,0,0,0,256,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0
65010,Southern Midlands ,0,0,4,5,0,0,5486,0,8,0,6,0,0,4,0,0,0,7,0,9,0,3
65210,Tasman ,3,0,0,0,0,4,1973,0,3,0,0,0,0,0,0,0,0,3,0,5,0,0
65410,Waratah/Wynyard ,3,0,5,3,3,6,12307,0,12,0,4,0,0,18,3,0,4,3,4,22,0,8
55740,Mosman Park ,18,18,65,39,28,77,6731,12,12,19,76,10,3,184,21,0,30,21,18,60,9,49
56790,Northampton ,5,0,0,0,0,5,3843,0,7,0,11,0,0,7,0,0,0,0,0,29,0,0
65610,West Coast ,4,0,6,0,4,0,3831,0,9,0,4,0,0,14,0,0,0,0,3,9,0,0
65810,West Tamar ,8,20,26,32,14,22,19980,14,65,28,53,5,5,140,8,3,15,24,12,104,0,23
60810,Central Coast (TAS),3,0,13,3,10,17,19119,7,53,0,13,0,0,26,10,0,12,0,22,31,0,8
56160,Murchison ,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56230,Murray ,5,0,14,3,3,3,14466,7,28,9,79,0,0,28,10,3,0,3,29,34,0,0
56300,Nannup ,0,0,3,0,0,6,1168,0,3,0,6,0,0,8,0,0,0,0,0,9,0,0
56370,Narembeen ,0,0,0,0,0,0,684,0,0,0,3,0,0,0,0,0,0,0,5,3,0,0
57700,Serpentine-Jarrahdale ,25,11,40,15,62,64,22073,32,88,59,127,20,58,159,35,3,4,17,77,59,9,13
57770,Shark Bay ,0,3,0,5,0,4,1834,0,6,0,8,0,0,7,0,0,0,4,11,11,0,0
57840,South Perth ,267,279,331,147,230,284,29619,351,61,98,461,52,79,2490,515,64,93,149,89,165,57,234
56460,Narrogin ,6,0,0,5,3,10,4285,0,0,3,19,0,6,18,0,0,7,0,39,8,0,0
56580,Nedlands ,52,31,95,43,60,156,17348,55,69,70,187,4,25,1286,108,12,33,96,17,131,23,80
56730,Northam ,16,0,3,27,13,13,9040,3,14,10,20,12,0,20,7,0,3,3,114,36,0,3
56930,Peppermint Grove ,0,0,6,8,9,12,1370,0,3,3,12,0,0,32,3,0,4,9,0,0,4,3
57630,Sandstone ,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
57000,Perenjori ,0,0,0,4,0,0,793,0,0,0,4,0,0,10,0,0,0,0,3,3,0,0
57080,Perth (WA),179,590,379,92,308,263,12347,228,40,133,312,69,107,2394,240,35,119,77,96,139,79,354
58330,Toodyay ,3,3,10,10,0,10,3816,0,10,0,9,0,0,14,7,0,0,3,0,22,0,3
70200,Alice Springs ,88,43,71,15,156,73,18446,45,44,22,99,3,56,284,18,3,16,36,229,130,22,53
61010,Central Highlands (TAS),0,0,0,0,0,0,1993,0,0,0,0,0,0,3,0,0,3,3,4,3,0,0
61210,Circular Head ,0,24,6,0,0,3,6977,3,18,0,3,0,0,29,0,0,17,0,25,13,0,3
58400,Trayning ,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58760,Wanneroo ,4973,171,932,601,752,620,136617,1968,272,247,1569,589,236,2707,347,46,277,344,1044,574,146,244
58820,Waroona ,0,0,3,4,0,3,3329,4,5,0,130,0,0,7,0,0,3,0,21,11,4,0
58890,West Arthur ,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
61410,Clarence ,32,35,102,51,26,83,48577,40,64,22,80,3,8,292,25,9,15,234,29,163,15,83
61510,Derwent Valley ,3,0,5,18,0,5,9063,6,11,0,4,0,0,19,0,0,0,9,0,9,0,3
58470,Upper Gascoyne ,0,0,0,0,0,0,329,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
58510,Victoria Park ,275,417,248,113,362,233,22054,342,77,92,637,38,174,2085,372,50,63,56,186,164,119,164
61610,Devonport ,12,10,48,12,31,17,22023,8,34,11,22,5,0,128,11,3,10,28,40,24,4,17
61810,Dorset ,0,4,4,5,3,6,5799,0,10,0,0,0,0,11,0,0,3,5,3,21,0,0
58540,Victoria Plains ,0,0,0,0,5,0,795,0,0,3,0,0,0,3,0,0,0,0,15,0,0,0
62010,Flinders (TAS),0,0,0,0,0,0,831,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
62210,George Town ,0,0,4,3,3,5,5922,4,8,0,12,0,0,24,0,0,3,0,3,15,0,3
62410,Glamorgan/Spring Bay ,3,0,8,3,0,10,3802,0,9,3,3,0,0,19,9,0,0,0,0,14,0,6
62610,Glenorchy ,98,30,149,197,126,63,38271,166,24,76,166,39,73,331,18,9,12,181,125,122,10,57
58570,Vincent ,573,214,319,113,75,275,23080,116,63,31,1394,117,46,1197,77,21,62,301,77,205,23,188
58610,Wagin ,4,0,3,0,0,7,1569,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
58680,Wandering ,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59030,Westonia ,0,0,0,0,0,0,290,0,0,0,4,0,0,3,0,0,0,0,0,8,0,0
74560,Wagait ,0,0,0,0,0,0,410,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
74660,West Arnhem ,0,0,7,3,10,17,2135,0,18,4,12,0,0,24,14,0,0,3,6,32,3,5
72800,Palmerston ,199,38,69,13,117,74,25753,39,31,112,70,4,88,271,206,8,25,294,711,97,90,41
73600,Roper Gulf ,4,0,4,3,8,12,3423,0,7,0,15,0,0,13,3,0,0,3,3,17,0,0
74050,Tiwi Islands ,4,0,0,0,0,0,308,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
74550,Victoria Daly ,0,0,0,0,0,5,1424,0,7,0,3,0,0,0,3,0,0,0,0,3,0,0
74680,West Daly ,0,3,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
79399,Unincorporated NT,78,19,29,8,29,53,6457,17,15,4,45,3,5,49,16,0,5,9,29,46,0,67
62810,Hobart ,143,167,211,151,257,229,40438,287,86,80,344,45,103,2641,62,27,74,469,60,298,69,172
59100,Wickepin ,0,0,0,0,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
59330,Wyalkatchem ,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59340,Wyndham-East Kimberley ,32,14,7,3,9,46,7893,5,28,7,31,7,0,68,6,0,3,3,28,64,0,11
59350,Yalgoo ,3,0,3,3,0,0,598,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0
63010,Huon Valley ,9,8,42,22,3,34,14310,15,33,0,23,4,5,63,7,5,15,13,14,120,0,24
59170,Williams ,0,0,0,0,0,0,841,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0
59250,Wiluna ,0,0,4,0,0,0,883,0,0,0,5,3,0,12,0,0,0,0,0,3,0,0
89399,Unincorporated ACT,4203,2384,3253,1099,3661,2037,287026,3058,573,1895,3235,1099,2368,17237,1335,285,909,2419,1697,1890,1949,1110
99399,Unincorp. Other Territories,9,0,7,0,11,9,2174,12,8,4,15,0,0,420,4,0,7,4,37,10,0,0
60610,Burnie ,9,0,33,4,16,11,17151,20,17,24,10,3,18,70,12,0,5,12,25,42,12,12
59310,Wongan-Ballidu ,0,0,0,3,0,0,1227,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
59320,Woodanilling ,0,0,0,0,0,0,358,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
59360,Yilgarn ,0,0,0,0,5,3,1394,0,0,0,10,0,0,3,0,0,0,3,10,0,0,0
59370,York ,4,0,0,0,0,3,3079,0,8,0,9,0,0,4,0,0,0,0,5,9,0,0
60210,Break O'Day ,0,0,3,0,9,11,5367,0,4,0,8,0,0,10,0,0,5,4,3,22,0,7
60410,Brighton ,7,0,9,24,3,3,14966,3,10,0,31,0,7,35,0,0,4,23,24,21,0,3
63210,Kentish ,0,5,10,5,3,17,5510,0,18,0,7,3,0,32,11,3,3,3,11,28,3,15
63410,King Island ,0,0,3,0,0,0,1333,0,4,0,4,0,0,0,4,0,3,3,3,11,0,0
63610,Kingborough ,10,81,115,41,30,108,31368,33,164,22,76,3,18,413,24,3,43,66,50,192,9,69
63810,Latrobe (TAS),4,4,7,3,3,11,9560,11,21,0,8,0,3,19,0,0,3,0,4,19,0,5
64010,Launceston ,87,96,87,76,86,90,55698,178,111,44,121,10,22,831,45,9,50,54,96,145,40,63
64210,Meander Valley ,0,14,0,17,17,24,17182,21,27,0,53,5,18,41,0,0,18,6,32,39,0,11
64610,Northern Midlands ,7,3,12,0,0,8,11417,0,24,0,15,0,0,19,0,3,0,4,6,15,0,6
64810,Sorell ,0,0,22,4,0,11,12867,0,26,0,10,0,0,24,3,3,0,22,12,34,0,5
70700,Coomalie ,0,0,0,0,0,4,1307,0,9,0,7,0,0,0,0,0,0,0,9,3,0,3
71000,Darwin ,596,207,274,77,513,389,53200,219,120,375,520,51,285,2759,810,40,91,2780,1762,422,311,314
71300,East Arnhem ,4,0,0,0,0,9,602,0,5,0,3,0,0,0,0,0,0,0,0,5,0,0
72200,Katherine ,19,15,10,0,18,19,7481,23,8,8,20,0,0,52,11,0,0,6,115,27,0,8
72300,Litchfield ,228,31,45,10,22,45,20792,11,32,5,55,3,6,120,78,4,12,87,118,79,0,4
70420,Barkly ,0,4,0,0,11,13,3548,0,8,0,5,0,0,25,14,0,0,30,21,20,0,0
70540,Belyuen ,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70620,Central Desert ,0,0,0,0,3,10,1040,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0
72330,MacDonnell ,5,3,4,0,0,23,1556,0,6,0,9,0,0,11,0,0,0,0,3,19,3,7
