 lga_code_2016,,vi,ko, es, pl, hi, fr, en, ar, nl, ta, it, sr, ur, zh, in, tr, ru, el, tl,de, sp_oth_lan_indo_ary_lan_ben_p, ja
21610,Casey ,2246,513,3277,1475,4701,2080,175701,4391,467,4096,2633,2617,1864,8763,940,1561,726,2466,2106,709,640,203
21670,Central Goldfields ,3,0,11,3,13,3,11587,7,6,0,16,3,5,35,0,3,12,23,19,19,0,0
21750,Colac-Otway ,23,3,10,10,10,17,18226,66,17,4,67,4,3,118,16,5,9,43,13,35,0,22
21830,Corangamite ,0,0,13,0,6,9,14092,5,27,0,14,4,0,20,10,4,10,9,22,22,0,0
21890,Darebin ,3373,177,1184,206,1589,586,82065,4461,127,518,9621,328,747,7497,302,374,127,9210,414,451,420,404
22110,East Gippsland ,78,10,52,30,39,44,38461,14,65,30,221,20,3,193,11,5,14,65,62,154,0,16
22170,Frankston ,237,78,633,328,509,344,109420,521,382,349,842,305,80,1524,141,159,540,1154,456,574,42,135
22250,Gannawarra ,3,0,3,0,3,3,9342,3,7,0,11,3,0,8,3,0,3,11,18,9,4,0
22830,Greater Shepparton ,56,30,46,28,122,63,48133,1236,61,63,1310,22,119,556,22,486,12,221,159,76,44,32
22910,Hepburn ,9,0,32,14,8,38,13116,7,32,5,68,41,0,58,4,4,13,55,15,57,3,8
22980,Hindmarsh ,0,0,0,0,0,3,4907,0,11,0,6,3,0,16,0,3,0,7,13,6,0,0
23110,Hobsons Bay ,1793,72,629,363,840,224,57670,3037,106,188,2363,599,290,2280,297,93,112,2346,404,373,169,186
23190,Horsham ,9,8,21,13,24,10,17479,15,12,10,80,0,9,83,0,24,3,20,31,26,12,9
23270,Hume ,1960,90,1107,390,2688,232,97275,16291,66,634,5673,547,2629,1742,250,13520,126,2822,1342,255,399,103
23350,Indigo ,0,0,18,12,4,22,14098,0,19,0,43,9,0,18,9,3,0,6,16,56,0,15
23430,Kingston (VIC),1575,315,992,663,1325,795,102951,1231,204,675,2314,449,260,6894,278,682,1923,6796,617,631,206,492
23670,Knox ,1186,706,754,596,1335,353,108286,1133,325,1100,1822,293,190,13616,577,161,245,1818,611,1077,153,201
23810,Latrobe (VIC),79,28,101,114,89,50,61417,196,228,39,826,54,48,484,30,11,27,358,140,200,61,31
23940,Loddon ,0,0,3,0,10,5,6359,5,3,0,9,0,0,15,3,0,0,17,28,18,0,0
24130,Macedon Ranges ,28,5,94,57,27,90,40303,29,72,3,345,19,8,190,12,31,6,123,31,189,5,29
24210,Manningham ,728,901,397,197,746,205,61320,1805,126,350,4828,174,365,22687,416,225,166,7032,157,391,91,275
24250,Mansfield ,3,3,11,3,0,20,7540,0,3,0,20,0,4,90,10,0,3,15,3,52,0,13
24330,Maribyrnong ,9730,211,1044,260,871,244,41846,800,88,304,1461,400,591,5487,293,358,94,1773,504,215,640,233
24410,Maroondah ,428,284,465,269,641,213,85732,353,290,139,821,131,107,5215,212,64,143,621,204,511,69,155
24600,Melbourne ,2065,2903,2371,190,2304,965,63917,1829,176,871,1830,216,293,32959,2966,336,410,731,417,612,344,1101
24650,Melton ,2757,172,1848,573,1912,184,82496,2478,78,559,1979,936,953,2600,273,1113,120,1559,2079,217,285,103
24780,Mildura ,192,53,29,18,43,45,44053,102,36,49,1023,17,8,487,9,440,8,318,77,62,30,51
24850,Mitchell ,27,15,85,42,101,36,34409,117,22,35,385,6,34,315,17,94,10,122,88,98,13,41
24900,Moira ,0,0,15,13,11,20,24906,143,32,18,309,14,17,102,8,3,3,21,49,36,6,7
24970,Monash ,2975,2355,953,766,3090,767,82679,1317,178,2661,3817,444,723,37369,1744,294,934,10277,472,690,907,884
25060,Moonee Valley ,2752,267,1200,351,897,344,74253,1735,90,284,7833,280,238,4115,187,631,155,3638,268,321,140,270
25150,Moorabool ,48,0,82,41,48,35,27826,44,62,6,146,50,10,69,4,8,8,89,30,89,0,14
25250,Moreland ,1451,283,1546,460,1260,573,90145,7890,138,404,12666,299,3834,4412,637,2942,203,7365,471,591,726,442
25340,Mornington Peninsula ,57,23,324,177,42,368,134308,131,323,15,1552,79,7,637,103,46,100,1200,154,645,3,141
17100,Strathfield ,885,3554,291,86,1361,67,11652,2034,16,2257,738,74,449,7005,217,109,156,596,277,37,240,91
17150,Sutherland Shire ,439,221,1606,497,402,576,179618,2033,322,65,1808,319,98,5370,414,154,1000,4128,469,782,125,410
17200,Sydney ,2279,3290,3649,558,1290,2549,113488,1423,463,314,2272,467,208,28732,4545,504,1892,1962,678,1302,350,1754
